gene_id,family_id,class_id,subtype_logFC,subtype_logCPM,subtype_F,subtype_PValue,subtype_qvalue
937,RLTR44D,ERVK,LTR,-0.85493733988575,8.10916037261763,14.9536390473496,0.00310367987480377,0.00616877047940572
938,RLTR44E,ERVK,LTR,-0.799153658985969,8.98635618287514,12.1284327158176,0.00586422084524216,0.0108823600759966
942,RLTR46,ERVK,LTR,-0.92166132981726,6.14027816288075,35.5654286179386,0.000114670779285467,0.000368901249155125
943,RLTR46A,ERVK,LTR,-0.572386417165382,5.414576673158,50.7851610436845,6.04526542925152e-06,3.84355228143889e-05
945,RLTR46B,ERVK,LTR,-0.758547953575047,5.70002640763538,85.3050892209005,3.14637682136744e-07,5.33453888350025e-06
949,RLTR48B,ERV1,LTR,-0.604395941259024,6.16869685894065,28.9427938551709,0.000188571772442585,0.000553836780480979
953,RLTR4_MM-int,ERV1,LTR,0.681419576298858,8.61930863210594,41.7504394233076,4.3806465109274e-05,0.000162855263977666
963,RLTR6-int,ERV1,LTR,0.53007815510652,10.4482710769733,65.2072091350888,1.92665977837013e-06,1.69342590729106e-05
965,RLTR8,ERVK,LTR,-0.509152453408,6.54318212818348,118.070667925589,4.42585400074914e-08,3.05101448206557e-06
968,RLTR9A3,ERVK,LTR,-0.620645428861268,8.47341416655458,76.3686686433916,7.11385400164733e-07,9.04591207709472e-06
969,RLTR9A3A,ERVK,LTR,-0.839997460402533,6.99302777438522,117.503126739415,7.13995888823107e-08,3.05101448206557e-06
970,RLTR9A3B,ERVK,LTR,-0.667460415536051,7.48945903796628,44.4640610094184,2.77184540849395e-05,0.000118108405792905
979,RLTRETN_Mm,ERVK,LTR,-0.536373935980346,9.32619898536818,60.9698138726461,2.73032818009884e-06,2.18231230966472e-05
984,RMER12C,ERVK,LTR,0.506082656427981,9.30640702442354,100.926285451471,1.1507430315195e-07,3.47560618763348e-06
1003,RMER17B,ERVK,LTR,-0.640440535612845,12.3097868514281,31.6377053826876,0.000180856753704258,0.000533980758298323
1004,RMER17B2,ERVK,LTR,-0.624955521092414,10.1126938307187,50.8371519369199,1.47139725727126e-05,7.18992808247399e-05
1021,RMER21A,ERV1,LTR,-0.861359490228186,10.224903587498,30.4438284751031,0.000245565347509646,0.000685255919858589
1022,RMER21B,ERV1,LTR,-0.735047519411337,10.2570779721932,24.3006097331063,0.000559754640406844,0.00136979590692193
1039,SUBTEL_sa,Satellite,Satellite,-1.03985264764879,5.47168458818888,47.5606857563606,2.52378987356339e-05,0.000110317221426462
1051,Tigger16b,TcMar-Tigger,DNA,-0.556167858340969,5.52411155151275,64.3542310091501,1.61633747987654e-06,1.44694531198548e-05
1070,UCON10,UCON10,Unknown,-0.665799707911974,4.07818071872141,52.9644562534069,4.80344385542509e-06,3.27747175257358e-05
1073,UCON12A,UCON12A,Unknown,-1.14129008933125,2.73545544478012,64.9137684212746,1.53866117399838e-06,1.42206873896008e-05
1076,UCON15,UCON15,Unknown,-1.05338216125052,3.65219542975275,47.7912659307242,9.45367896641241e-06,5.20085190342454e-05
1079,UCON18,UCON18,Unknown,0.599280211600263,1.39045575967924,8.50734652233449,0.0115550145622565,0.0202032207736953
1084,UCON22,UCON22,Unknown,-0.67017679736305,3.0486488315424,26.0018146026045,0.000177584649744458,0.000525706939322879
1087,UCON25,UCON25,Unknown,-0.761897478314272,3.38666289008697,22.1043901457953,0.000390219787883804,0.0010038067646942
1094,UCON31,UCON31,Unknown,-0.581321190721517,4.72891172919078,84.5102303948545,3.32558062481193e-07,5.55421599875305e-06
1095,UCON4,UCON4,Unknown,-0.567345616335286,3.97237577452879,41.1533297468912,1.85603856986297e-05,8.80045406642656e-05
1097,UCON6,UCON6,Unknown,-0.614663673785693,4.07314034507801,34.2561612327013,4.73060440113199e-05,0.000172991709962964
1100,UCON9,UCON9,Unknown,0.56653641794602,1.34319288514854,13.7394191441035,0.00245731585112297,0.00498140658950472
1105,X3_LINE,RTE-BovB,LINE,-0.637096091120113,6.25122968870166,35.933734614969,6.90262082593363e-05,0.000239876792056513
1119,ZP3AR,Satellite,Satellite,-0.83279199060909,11.7263128960176,23.3378450539543,0.000674985834657473,0.00161513395250193
